Date,portfolio_value,daily_return,cumulative_return
2023-09-04,9892.867316430697,0.0,0.9990375800079249
2023-09-05,9892.867316430697,0.0,0.9990375800079249
2023-09-06,9892.867316430697,0.0,0.9990375800079249
2023-09-07,9892.867316430697,0.0,0.9990375800079249
2023-09-08,9892.867316430697,0.0,0.9990375800079249
2023-09-11,9892.867316430697,0.0,0.9990375800079249
2023-09-12,9892.867316430697,0.0,0.9990375800079249
2023-09-13,9892.867316430697,0.0,0.9990375800079249
2023-09-14,9892.867316430697,0.0,0.9990375800079249
2023-09-15,9892.867316430697,0.0,0.9990375800079249
2023-09-18,9892.867316430697,0.0,0.9990375800079249
2023-09-20,9892.867316430697,0.0,0.9990375800079249
2023-09-21,9892.867316430697,0.0,0.9990375800079249
2023-09-22,9892.867316430697,0.0,0.9990375800079249
2023-09-25,9892.867316430697,0.0,0.9990375800079249
2023-09-26,9892.867316430697,0.0,0.9990375800079249
2023-09-27,9892.867316430697,0.0,0.9990375800079249
2023-09-28,9892.867316430697,0.0,0.9990375800079249
2023-09-29,9892.867316430697,0.0,0.9990375800079249
2023-10-03,9892.867316430697,0.0,0.9990375800079249
2023-10-04,9892.867316430697,0.0,0.9990375800079249
2023-10-05,9892.867316430697,0.0,0.9990375800079249
2023-10-06,9892.867316430697,0.0,0.9990375800079249
2023-10-09,9892.867316430697,0.0,0.9990375800079249
2023-10-10,9892.867316430697,0.0,0.9990375800079249
2023-10-11,9892.867316430697,0.0,0.9990375800079249
2023-10-12,9892.867316430697,0.0,0.9990375800079249
2023-10-13,9892.867316430697,0.0,0.9990375800079249
2023-10-16,9892.867316430697,0.0,0.9990375800079249
2023-10-17,9892.867316430697,0.0,0.9990375800079249
2023-10-18,9892.867316430697,0.0,0.9990375800079249
2023-10-19,9892.867316430697,0.0,0.9990375800079249
2023-10-20,9892.867316430697,0.0,0.9990375800079249
2023-10-23,9892.867316430697,0.0,0.9990375800079249
2023-10-25,9892.867316430697,0.0,0.9990375800079249
2023-10-26,9892.867316430697,0.0,0.9990375800079249
2023-10-27,9892.867316430697,0.0,0.9990375800079249
2023-10-30,9892.867316430697,0.0,0.9990375800079249
2023-10-31,9892.867316430697,0.0,0.9990375800079249
2023-11-01,9892.867316430697,0.0,0.9990375800079249
2023-11-02,9892.867316430697,0.0,0.9990375800079249
2023-11-03,9892.867316430697,0.0,0.9990375800079249
2023-11-06,9892.867316430697,0.0,0.9990375800079249
2023-11-07,9892.867316430697,0.0,0.9990375800079249
2023-11-08,9892.867316430697,0.0,0.9990375800079249
2023-11-09,9892.867316430697,0.0,0.9990375800079249
2023-11-10,9892.867316430697,0.0,0.9990375800079249
2023-11-13,9892.867316430697,0.0,0.9990375800079249
2023-11-15,9892.867316430697,0.0,0.9990375800079249
2023-11-16,9892.867316430697,0.0,0.9990375800079249
2023-11-17,9892.867316430697,0.0,0.9990375800079249
2023-11-20,9892.867316430697,0.0,0.9990375800079249
2023-11-21,9892.867316430697,0.0,0.9990375800079249
2023-11-22,9892.867316430697,0.0,0.9990375800079249
2023-11-23,9892.867316430697,0.0,0.9990375800079249
2023-11-24,9892.867316430697,0.0,0.9990375800079249
2023-11-28,9892.867316430697,0.0,0.9990375800079249
2023-11-29,9892.867316430697,0.0,0.9990375800079249
2023-11-30,3526.200164794922,-0.6435613607251776,0.3560955956024363
2023-12-01,3388.5,-0.0390505808971654,0.3421898557392391
2023-12-04,3485.700164794922,0.028685307597734022,0.3520056770079434
2023-12-05,3404.6999588012695,-0.02323785815307433,0.3438258190165559
2023-12-06,3464.100082397461,0.017446507567470126,0.34982437876991984
2023-12-07,3466.799835205078,0.0007793518499468188,0.3500970150466707
2023-12-08,3825.899917602539,0.10358258320853375,0.3863609682388017
2023-12-11,4590.0,0.19971773931720516,0.4635241073758617
2023-12-12,5499.899917602539,0.19823527616613057,0.5554109368111748
2023-12-13,6048.0,0.09965637386295989,0.610761176777606
2023-12-14,6496.200164794921,0.07410717010498025,0.656022959198582
2023-12-15,5848.200164794921,-0.09975062091093323,0.5905842616866956
2023-12-18,5980.5,0.02262231652081592,0.6039446457867844
2023-12-19,6072.299835205079,0.015349859577807656,0.6132151112923804
2023-12-20,5667.299835205079,-0.06669631128093367,0.5723159253474513
2023-12-21,5934.600082397461,0.047165361806326356,0.5993094130339863
2023-12-22,5931.899917602539,-0.00045498681586497725,0.599036735152432
2023-12-26,5505.299835205079,-0.07191626432056808,0.5559562509694796
2023-12-27,5389.200164794921,-0.021088709767945524,0.5442318509491092
2023-12-28,5254.200164794921,-0.025050099434400397,0.5305987889674663
2023-12-29,5551.200164794921,0.05652620583243273,0.5605915253270808
